label,epoch,step,loss,lr
r16_all_layers,1,1,1.7429756969213486,3.3333333333333335e-05
r16_all_layers,1,5,1.5350301265716553,0.0001666666666666667
r16_all_layers,1,10,1.4914957731962204,0.00019795299412524945
r16_all_layers,1,15,1.3879296481609344,0.00018978045395707418
r16_all_layers,1,20,1.5742153376340866,0.0001758758122692791
r16_all_layers,2,25,1.214690238237381,0.00015712682150947923
r16_all_layers,2,30,1.1841381639242172,0.00013473052528448201
r16_all_layers,2,35,1.415795236825943,0.00011011683219874323
r16_all_layers,2,40,1.1855715215206146,8.485722224954237e-05
r16_all_layers,2,45,1.2532261908054352,6.0564414488668165e-05
r16_all_layers,3,50,0.7705534473061562,3.878940174523371e-05
r16_all_layers,3,55,1.0603086277842522,2.092242630623016e-05
r16_all_layers,3,60,1.1357762813568115,8.10421883797694e-06
r16_all_layers,3,65,1.0816503539681435,1.1531675671888619e-06
