label,epoch,step,loss,lr
r8,1,1,2.1289713233709335,3.3333333333333335e-05
r8,1,5,1.491371139883995,0.0001666666666666667
r8,1,10,1.917849063873291,0.00019795299412524945
r8,1,15,1.566377431154251,0.00018978045395707418
r8,1,20,1.6150449067354202,0.0001758758122692791
r8,2,25,1.8174427598714828,0.00015712682150947923
r8,2,30,1.5552117675542831,0.00013473052528448201
r8,2,35,1.5148413479328156,0.00011011683219874323
r8,2,40,1.8077840507030487,8.485722224954237e-05
r8,2,45,1.378452330827713,6.0564414488668165e-05
r8,3,50,1.4441035836935043,3.878940174523371e-05
r8,3,55,1.568917602300644,2.092242630623016e-05
r8,3,60,1.2727775797247887,8.10421883797694e-06
r8,3,65,1.7348740845918655,1.1531675671888619e-06
